objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
Crokinole,521,9,56,0,1,0,0,0,0,0,0,0,4,requested for birthday,,,,,9463688,7.55736,7.82057,1.2656,72,7664,thing,Crokinole,2,4,30,30,30,1876,"2,4","2,4",6+,No necessary in-game text,,,,,Muzzies “Fundy” Tournament Board,standalone,,,,,,,,,,,,,,,
CrossTalk,215371,7,6,0,1,0,0,0,0,0,0,0,4,Party game.  Teams.  Clue givers and receivers like codenames except clue givers are working from the same word.  First to guess the word wins.,,,,,52640837,6.001,7.10578,1.2727,2259,1216,thing,CrossTalk,4,8,30,30,20,2017,"4,5,6,7,8","4,6,8",10+,,,,,,,standalone,,,,,,,,,,,,,,,
Cry Havoc,192457,6.5,1,0,0,0,0,0,0,0,0,0,3,,,,,,39365484,6.87963,7.28788,3.2766,474,8070,thing,Cry Havoc,2,4,120,120,60,2016,"2,3,4",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Cuba,30380,7,1,0,0,0,0,0,0,0,0,0,2,,,,,,8501014,6.88803,7.15723,3.2693,463,7908,thing,Cuba,2,5,120,120,75,2007,"2,3,4,5",4,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Cube Quest,137330,5.5,2,0,0,0,0,0,0,0,0,0,3,,,,,,32246394,6.24565,6.84143,1.0923,1470,2975,thing,Cube Quest,2,2,15,15,15,2013,2,2,5+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Cyclades,54998,6,3,0,0,0,0,0,0,1,0,0,2,,,,,,11191149,7.32087,7.52499,2.8286,157,17368,thing,Cyclades,2,5,90,90,60,2009,"2,3,4,5","4,5",12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,Asmodee,English,2009,English-only edition
Dancing Eggs,8924,7,52,0,1,0,0,0,0,0,0,0,3,,Simple dexterixty game that is full of laughs.,,,,15084105,6.0552,6.41515,1.0497,2038,3648,thing,Dancing Eggs,2,4,10,10,10,2003,"3,4",4,5+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Dead Last,184522,6.5,2,0,0,0,0,0,0,0,0,0,3,,,,,,36374385,5.96845,6.40881,1.0588,2406,2609,thing,Dead Last,6,12,90,90,10,2016,"6,7,8,9,10,11,12","8,9",10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Deadwood,96713,7,1,0,0,0,0,0,0,0,0,0,3,,,,,,14803483,6.00543,6.40602,2.178,2237,3091,thing,Deadwood,2,5,60,60,30,2011,"3,4,5",5,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Deckscape: Test Time,218311,6,1,0,0,0,0,0,0,0,0,0,3,,,,,,51756892,6.17303,6.77797,1.5161,1667,2494,thing,Deckscape: Test Time,1,6,90,90,30,2017,"1,2,3,4",2,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Decrypto,225694,8.5,12,0,1,0,0,0,0,0,0,0,2,,,,,,56266340,7.39328,7.81625,1.8039,123,10453,thing,Decrypto,3,8,45,45,15,2018,"4,5,6,7,8","4,6",10+,Unplayable in another language,,,,,,standalone,,,,,,,,,,,,,,,
Decrypto: Expansion #01 – Laserdrive,273938,0,,0,0,0,0,0,0,0,0,1,3,,,,,,58732783,0,7.96667,0,0,187,thing,Decrypto: Expansion #01 – Laserdrive,3,8,45,45,15,2019,,,,,,,,,,expansion,,,,,,,,,,,,,,,
Defenders of the Realm,65532,7,2,0,0,0,0,0,0,0,0,0,3,,,,,,12508696,6.9082,7.32714,2.713,446,6527,thing,Defenders of the Realm,1,4,90,90,90,2010,"1,2,3,4",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Descent: Journeys in the Dark,17226,7,,0,0,0,0,0,0,0,0,0,3,,,,,,8076687,7.05215,7.3108,3.3405,312,13265,thing,Descent: Journeys in the Dark,2,5,240,240,120,2005,"2,3,4,5",5,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Descent: Journeys in the Dark (Second Edition),104162,6.5,17,0,0,0,0,0,0,0,0,0,3,,,,,,17206533,7.48508,7.72085,3.2055,92,31896,thing,Descent: Journeys in the Dark (Second Edition),2,5,120,120,120,2012,"2,3,4,5",5,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Deus,162082,8,1,0,0,0,0,0,0,0,0,0,3,,,,,,27103516,7.02933,7.34763,2.8423,330,7751,thing,Deus,2,4,90,90,60,2014,"2,3,4",,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Dice City,179572,7,1,0,0,0,0,0,0,0,0,0,3,,Engine building dice game.  Limited flexibility on dice results but still fun to upgrade your city.,,,,33214250,6.47401,6.81455,2.0417,991,6887,thing,Dice City,1,4,60,60,45,2015,"1,2,3",2,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Dice Town,40793,7.25,4,0,0,0,0,0,0,0,0,0,3,,,,,,14174812,6.61024,6.85662,1.6783,793,7383,thing,Dice Town,2,5,45,45,45,2009,"3,4,5","4,5",8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Dimension,153318,8.5,7,0,0,0,0,0,0,0,0,0,3,,,,,,35528095,6.19136,6.86839,1.3243,1614,2116,thing,Dimension,1,4,30,30,30,2014,"1,2,3,4",4,6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Dinosaur Tea Party,247160,6.5,2,0,0,0,0,0,0,0,0,0,3,,,,,,56974825,5.81035,6.91846,1,3303,992,thing,Dinosaur Tea Party,3,5,30,30,15,2018,"3,4,5","4,5",5+,,,,,,,standalone,,,,,,,,,,,,,,,
Discoveries: The Journals of Lewis and Clark,171669,6.5,1,0,0,0,0,0,0,0,0,0,3,,,,,,32246403,6.71212,7.12197,2.3665,664,5920,thing,Discoveries: The Journals of Lewis and Clark,2,4,60,60,60,2015,"2,3,4",3,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Discworld: Ankh-Morpork,91312,7.5,1,0,0,0,0,0,0,0,0,0,3,,,,,,16552164,6.9283,7.21764,2.2123,426,10187,thing,Discworld: Ankh-Morpork,2,4,60,60,60,2011,"2,3,4",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Disney Villainous,256382,6,1,0,0,0,0,0,0,0,0,0,3,,,,,,53887949,6.60962,7.07815,2.4043,794,9461,thing,Disney Villainous,2,6,50,50,50,2018,"2,3,4",3,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Divinare,118418,4,1,0,0,0,0,0,0,0,0,0,3,,,,,,16552183,6.14925,6.74079,1.7736,1734,1738,thing,Divinare,2,4,30,30,30,2012,"2,3,4",3,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Dixit,39856,6.5,6,0,0,0,0,0,0,1,0,0,3,,Apples to Apples style game with pictures instead of words but gives more freedom of choices and requires creativity.  ,,,,14622304,7.17984,7.2834,1.2331,234,58401,thing,Dixit,3,6,30,30,30,2008,"4,5,6","5,6",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Domaine,5737,6,1,0,0,0,0,0,0,0,0,0,3,,,,,,8517627,6.62992,7.00689,2.7225,757,4883,thing,Domaine,2,4,60,60,60,2003,"2,3,4",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Dominant Species,62219,8,4,0,1,0,0,0,0,0,0,0,3,,,,,,11582056,7.65163,7.85068,4.0354,51,17292,thing,Dominant Species,2,6,240,240,120,2011,"3,4,5,6",4,14+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,GMT Games,English,2011,"English first edition, second printing"
Dominion,36218,9.5,34,0,1,0,0,0,0,0,0,0,3,,"Enjoy that there are multiple decks but only 10 selected for each game which gives a feeling of freshness to each play.  However, some cards are inherintley better which is obvious to all players and leads to a similar victory path strategy but you can win or lose based on the luck of the draw.  Limited interaction makes the game feel like multiple player solitare at times.",,,,8073765,7.53572,7.63796,2.3615,77,91345,thing,Dominion,2,4,30,30,30,2008,"2,3,4",3,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Dominion: Dark Ages,125403,0,,0,1,0,0,0,0,0,0,0,1,,,,,,37889490,7.47811,8.05002,2.7277,0,12636,thing,Dominion: Dark Ages,2,4,30,30,30,2012,"2,3,4",3,10+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,,,,,,,,,,,
Dominion: Hinterlands,104557,0,,0,1,0,0,0,0,0,0,0,1,,,,,,41421044,7.45724,7.98835,2.55,0,13050,thing,Dominion: Hinterlands,2,4,30,30,30,2011,"2,3,4",,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,,,,,,,,,,,
Dominion: Intrigue,40834,8,12,0,1,0,0,0,0,0,0,0,3,,,,,,10165765,7.5993,7.73699,2.4339,62,40003,thing,Dominion: Intrigue,2,4,30,30,30,2009,"2,3,4",3,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Dominion: Prosperity,66690,8,6,0,1,0,0,0,0,0,0,0,3,,,,,,11731803,7.96874,8.27178,2.4915,0,25987,thing,Dominion: Prosperity,2,4,30,30,30,2010,"2,3,4",3,10+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,,,,,,,,,,,
Dominion: Seaside,51811,8,5,0,1,0,0,0,0,0,0,0,1,,,,,,11731804,7.79245,8.05539,2.5008,0,27280,thing,Dominion: Seaside,2,4,30,30,30,2009,"2,3,4",3,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,,,,,,,,,,,
The Downfall of Pompeii,13004,7.5,7,0,1,0,0,0,0,0,0,0,3,,,,,,16552166,6.86079,7.13163,1.8465,495,7347,thing,The Downfall of Pompeii,2,4,45,45,45,2013,"2,3,4",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,Mayfair Games,English,2013,English second edition
Downforce,215311,0,,0,0,0,0,0,0,0,0,0,4,,,,,,50093303,6.96076,7.40864,1.8043,397,6652,thing,Downforce,2,6,40,40,20,2017,"2,3,4,5,6","3,6",8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
The Dragon & Flagon,193840,5,1,0,0,0,0,0,0,0,0,0,3,,,,,,37065725,5.92777,6.49284,2.3529,2584,1873,thing,The Dragon & Flagon,2,8,60,60,60,2016,"5,6,7,8",6,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Dragonheart,66171,6,1,0,0,0,0,0,0,0,0,0,3,,,,,,12120128,6.23608,6.5718,1.3636,1488,3189,thing,Dragonheart,2,2,30,30,30,2010,2,2,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Drakon (third edition),23107,7.5,55,0,1,0,0,0,0,0,0,0,3,,"Unique in that this game is easy to teach, fast to play and very strategic.  Accessible to all gamers types.  ",,,,9385214,6.14268,6.49535,1.7921,1750,2903,thing,Drakon (third edition),2,6,40,40,40,2006,"2,3,4,5,6",4,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,Fantasy Flight Games,English,2006,English edition
Draw Your Own Conclusions,273349,0,,0,0,0,0,0,0,0,0,1,4,keep an eye on.  party game.,,,,,58737790,0,2,0,0,0,thing,Draw Your Own Conclusions,3,8,20,20,15,2019,,,,,,,,,,standalone,,,,,,,,,,,,,,,
Dune,121,0,,0,0,0,0,0,1,0,0,0,1,,,,,,8110779,7.1428,7.6225,3.441,256,6046,thing,Dune,2,6,180,180,60,1979,"4,5,6",6,14+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Dungeon Fighter,102548,8,22,0,1,0,0,0,0,0,0,0,4,,,,,,15746244,6.54421,6.84848,1.756,886,7277,thing,Dungeon Fighter,1,6,60,60,45,2012,"2,3,4,5,6","3,4",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,Heidelberger Spieleverlag,English,2012,English second edition
Dungeon Fighter: Fire at Will,144386,0,,0,1,0,0,0,0,0,0,0,4,,,,,,23984163,5.8834,7.35378,2,0,1429,thing,Dungeon Fighter: Fire at Will,1,6,60,60,45,2013,"1,2,3,4,5,6",3,,Moderate in-game text - needs crib sheet or paste ups,,,,,,expansion,,,,,,,,,,,,,,,
Dungeon Fighter: Stormy Winds,163169,0,,0,0,0,0,0,0,0,0,0,4,,,,,,25973731,5.83425,7.59363,1.8889,0,1167,thing,Dungeon Fighter: Stormy Winds,1,6,60,60,45,2014,,,,,,,,,,expansion,,,,,,,,,,,,,,,
Dungeon Fighter: The Big Wave,149744,0,,0,0,0,0,0,0,0,0,0,4,,,,,,23984169,5.8566,7.52363,2.0714,0,1305,thing,Dungeon Fighter: The Big Wave,1,6,60,60,45,2014,"1,2,3,4,5",3,,Some necessary text - easily memorized or small crib sheet,,,,,,expansion,,,,,,,,,,,,,,,
Dungeon Lords,45315,8,6,0,1,0,0,0,0,0,0,0,2,,Enjoy the multiple blind selection worker placement mechanic.  It is also unique in that the first person to a location doesn't necessarily get the best resources.  The whole game is like a puzzle and defending against heros is challenging but fun. ,,,,9232123,7.20652,7.41068,3.5505,218,13559,thing,Dungeon Lords,2,4,90,90,90,2009,"2,3,4",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,"Czech Games Edition; Z-Man Games, Inc.",English,2009,English first edition
Dungeon Petz,97207,8,3,0,1,0,0,0,0,0,0,0,3,,,,,,13968273,7.28502,7.5048,3.5868,176,15006,thing,Dungeon Petz,2,4,90,90,90,2011,"2,3,4",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,"Czech Games Edition; Z-Man Games, Inc.",English,2011,English edition
Eclipse,72125,8,4,0,1,0,0,0,0,0,0,0,2,,,,,,16243209,7.75631,7.92929,3.6928,39,25647,thing,Eclipse,2,6,180,180,60,2012,"2,3,4,5,6","4,6",12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,Lautapelit.fi,English,2012,English second edition
Eclipse: Rise of the Ancients,125898,0,,0,0,0,0,0,0,0,0,0,4,,,,,,16967662,7.60992,8.45781,3.6701,0,9478,thing,Eclipse: Rise of the Ancients,2,9,120,120,120,2012,"2,3,4,5,6,7,8,9","4,6",14+,No necessary in-game text,,,,,,expansion,,,,,,,,,,,,,,,
Egizia,58421,8,2,0,0,0,0,0,0,0,0,0,3,,,,,,11581706,7.02762,7.4401,2.8315,331,3886,thing,Egizia,2,4,90,90,90,2009,"2,3,4",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Eight-Minute Empire,131366,5,1,0,0,0,0,0,0,0,0,0,3,,,,,,19220540,6.4103,6.60218,1.6244,1109,8439,thing,Eight-Minute Empire,2,5,20,20,8,2012,"2,3,4,5","3,4",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Elysium,163968,7,2,0,0,0,0,0,0,0,0,0,3,,,,,,33540582,6.99195,7.26093,2.7606,366,10992,thing,Elysium,2,4,60,60,60,2015,"2,3,4",3,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Eminent Domain,68425,7,2,0,0,0,0,0,0,0,0,0,3,,,,,,14553611,6.8672,7.08308,2.5039,488,11833,thing,Eminent Domain,2,4,45,45,45,2011,"2,3,4",3,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Eminent Domain: Microcosm,163640,5.5,1,0,0,0,0,0,0,0,0,0,3,,,,,,32604848,6.00964,6.50967,1.971,2223,3850,thing,Eminent Domain: Microcosm,2,2,15,15,15,2014,2,2,,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Empires of the Void,98347,7,2,0,0,0,0,0,0,0,0,0,2,,,,,,15577086,5.90439,6.74237,2.9138,2710,1152,thing,Empires of the Void,2,4,120,120,120,2012,"2,3,4",4,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Encore!,206931,7,7,0,1,0,0,0,0,0,0,0,3,Small family box game.  Dice rolling and set collection.  Only available in German but English rules translation available online.  Simple ruleset.,,,,,55481950,6.4208,7.01598,1.1429,1094,3577,thing,Encore!,1,6,20,20,20,2016,"1,2,3,4,5,6",2,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Endeavor,33160,7.25,4,0,0,0,0,0,0,0,0,0,3,,,,,,8514374,7.16322,7.42549,2.9066,244,7027,thing,Endeavor,3,5,90,90,90,2009,"3,4,5","4,5",12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Endeavor: Age of Sail,233398,7,1,0,0,0,0,0,0,0,0,0,3,,,,,,59876928,7.39382,8.10744,2.8678,122,6044,thing,Endeavor: Age of Sail,2,5,90,90,60,2018,"2,3,4,5",4,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Epic Card Game,175621,6,5,0,0,0,0,0,0,0,0,0,3,,,,,,33148541,6.18465,6.52839,2.5148,1635,9468,thing,Epic Card Game,2,4,40,40,20,2015,"2,3,4",2,8+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Escape: The Curse of the Temple,113294,5,2,0,0,0,0,0,0,0,0,0,3,,,,,,45126611,6.87519,7.02459,1.4869,478,18241,thing,Escape: The Curse of the Temple,1,5,10,10,10,2012,"1,2,3,4,5",4,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
The Estates,249381,0,,0,0,0,0,0,0,0,0,1,4,Re-implementation of Neue Heimat.  Explore more.,,,,,61216962,6.60134,7.53586,2.2593,805,2179,thing,The Estates,2,5,60,60,40,2018,"3,4,5",4,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Ethnos,206718,7,3,0,1,0,0,0,0,0,0,0,3,"Eurogame; a smooth mix of set collection, push-your-luck and area majority. Players try to collect sets in rummy-style. The trick is that they are allowed to collect a maximum of ten cards before having to play a set and then discarding the rest of their hand to the center display. This display is quickly emptied and not refilled from the draw stack. Thus, drawing blind and hoping for a matching card is a big part of the game. Gamble high unsuccessfully and the game can be lost early on.",,,,,59438698,7.18546,7.50713,2.008,232,9146,thing,Ethnos,2,6,60,60,45,2017,"2,3,4,5,6",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Euphoria: Build a Better Dystopia,133848,8,3,0,0,0,0,0,0,0,0,0,3,,,,,,21960946,7.01155,7.28153,3.0988,345,10879,thing,Euphoria: Build a Better Dystopia,2,6,60,60,60,2013,"2,3,4,5,6","4,5",12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Europe Engulfed,6205,0,,0,0,0,0,0,0,0,0,0,3,,2nd edition still in shrinkwrap for trade.  Acquired as gift but not interested in this type of game.,,,,8195964,6.40129,7.50477,3.781,1122,2285,thing,Europe Engulfed,2,3,720,720,720,2003,"2,3",2,14+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Everdell,199792,0,,0,0,0,0,0,0,0,0,1,4,,,,,,56386118,7.42867,7.98542,2.8207,108,9027,thing,Everdell,1,4,80,80,40,2018,"1,2,3,4",3,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Evolution,155703,6,2,0,0,0,0,0,0,0,0,0,3,,,,,,25875606,6.97442,7.18813,2.4355,383,15692,thing,Evolution,2,6,60,60,60,2014,"2,3,4,5,6",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Exit: The Game – The Abandoned Cabin,203420,8,1,0,0,0,0,0,0,0,0,0,3,,,,,,44520212,7.27093,7.63825,2.5843,184,10043,thing,Exit: The Game – The Abandoned Cabin,1,6,120,120,60,2016,"1,2,3,4","2,3",12+,Unplayable in another language,,,,,,standalone,,,,,,,,,,,,,,,
Exit: The Game – The Secret Lab,203417,8,,0,0,0,0,0,0,0,0,0,3,,,,,,45522141,6.8141,7.21793,2.5909,548,7865,thing,Exit: The Game – The Secret Lab,1,6,150,150,45,2016,"1,2,3,4",2,12+,Unplayable in another language,,,,,,standalone,,,,,,,,,,,,,,,
Exit: The Game – The Sunken Treasure,226518,7.5,1,0,0,0,0,0,0,0,0,0,3,,,,,,64246953,6.33172,7.2541,1.75,1260,2663,thing,Exit: The Game – The Sunken Treasure,1,4,90,90,45,2017,"1,2,3,4",2,10+,Unplayable in another language,,,,,,standalone,,,,,,,,,,,,,,,
Eye My Favorite Things,188530,6,2,0,0,0,0,0,0,0,0,0,3,,,,,,61356100,5.55114,7.01915,2.5,9130,52,thing,Eye My Favorite Things,3,6,30,30,30,2015,,,,,,,,,,standalone,,,,,,,,,,,,,,,
Fabled Fruit,203427,7,1,0,0,0,0,0,0,0,0,0,3,legacy-style filler game.  investigate more.,,,,,42478543,6.69476,7.07863,1.5795,689,6341,thing,Fabled Fruit,2,5,30,30,20,2016,"3,4,5",4,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Factory Fun,24417,6,3,0,0,0,0,0,0,1,0,0,3,,"Brain burning puzzle game.  Stressful to attempt to grab a machine quickly that fits well into your factory.  Easy to jump the gun, pick the wrong piece, and then find out you are screwed.  ",,,,14080519,6.45737,6.82228,2.492,1020,3406,thing,Factory Fun,2,5,45,45,45,2006,"1,2,3,4,5",4,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
A Fake Artist Goes to New York,135779,8,5,0,0,0,0,0,0,0,0,0,3,,Like Spyfall but with drawing.,,,,37668528,6.63155,7.13629,1.1493,755,4870,thing,A Fake Artist Goes to New York,5,10,20,20,20,2012,"5,6,7,8,9,10","6,7",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Fealty,96704,7.5,4,0,0,0,0,0,0,0,0,0,3,,,,,,13355426,5.89937,6.75188,2.4359,2740,948,thing,Fealty,2,4,30,30,15,2011,"2,3,4",2,12+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
A Feast for Odin,177736,7.5,2,0,0,0,0,0,0,0,0,0,4,New Uwe game.  Not available in the US yet.  Highly ranked by community and similar interest geek buddies.,,,,,38660668,7.88209,8.1794,3.8254,25,16395,thing,A Feast for Odin,1,4,120,120,30,2016,"1,2,3,4",3,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Fief: France 1429,152470,0,,0,0,0,0,0,0,0,0,0,3,,,,,,28617165,6.55977,7.45886,3.7714,865,3601,thing,Fief: France 1429,3,6,240,240,120,2015,"4,5,6","5,6",14+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Finca,40628,7.5,1,0,0,0,0,0,0,0,0,0,3,,,,,,13678187,6.78706,7.07085,2.0879,586,6092,thing,Finca,2,4,45,45,45,2009,"2,3,4",2,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
First Class: All Aboard the Orient Express!,206941,7,1,0,0,0,0,0,0,0,0,0,4,rated well my geekbuddies. investigate more.,,,,,42478631,7.01615,7.51371,2.7619,342,5603,thing,First Class: All Aboard the Orient Express!,2,4,80,80,40,2016,"2,3,4",4,10+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Five Tribes,157354,7.5,1,0,0,0,0,0,0,0,0,0,4,,,,,,24442316,7.63025,7.77339,2.8756,55,34949,thing,Five Tribes,2,4,80,80,40,2014,"2,3,4",2,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Flick 'em Up!,169124,6.5,1,0,0,0,0,0,0,0,0,0,3,,,,,,32420095,6.74201,7.011,1.3412,640,12477,thing,Flick 'em Up!,2,10,45,45,30,2015,"2,3,4,5,6",4,6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Flip City,168679,6.5,2,0,0,0,0,0,0,0,0,0,3,,,,,,32604851,6.10279,6.37765,1.7347,1868,6089,thing,Flip City,1,4,50,50,30,2014,"1,2,3,4",2,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
Flip Ships,223215,6,2,0,0,0,0,0,0,0,0,0,3,,,,,,50882566,6.28489,7.13641,1.4444,1373,2467,thing,Flip Ships,1,4,45,45,30,2017,"1,2,3,4","3,4",6,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,,,,,,,,,,,
FlowerFall,125315,3,3,0,0,0,0,0,0,0,0,0,3,,,,,,16552137,5.69132,6.03133,1.0465,4541,1112,thing,FlowerFall,2,7,10,10,10,2012,"2,3,4,5,6",4,6+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Fluxx,258,5,2,0,0,0,0,0,0,0,0,0,3,,,,,,22252373,5.56947,5.68252,1.3872,7904,24481,thing,Fluxx,2,6,30,30,5,1997,"2,3,4,5,6",4,8+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,,,,,,,,,,,
Food Chain Magnate,175914,0,,0,0,0,0,0,0,0,0,0,4,investigate,,,,,31219434,7.87056,8.18592,4.1921,28,12878,thing,Food Chain Magnate,2,5,240,240,120,2015,"2,3,4,5","3,4",14+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
For Sale,172,6,2,0,0,0,0,0,0,0,0,0,3,,,,,,39365486,7.10786,7.22054,1.2698,275,24956,thing,For Sale,3,6,30,30,30,1997,"3,4,5,6",5,8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Forbidden Island,65244,5.5,3,0,0,0,0,0,0,0,0,0,3,,,,,,11328155,6.72168,6.81206,1.7401,658,62514,thing,Forbidden Island,2,4,30,30,30,2010,"1,2,3,4",4,8+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,,,,,,,,,,,
Formula D,37904,6,2,0,0,0,0,0,0,0,0,0,3,,,,,,8692917,6.88019,7.03426,1.9795,473,21075,thing,Formula D,2,10,60,60,60,2008,"3,4,5,6,7,8,9,10","5,6,7,8",8+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Forum Trajanum,244049,0,,0,0,0,0,0,0,0,0,1,4,Feld.  Rated well by geekbuddies.,,,,,61456605,6.44274,7.41862,3.5079,1054,2235,thing,Forum Trajanum,2,4,120,120,60,2018,"2,3,4",3,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
Francis Drake,140603,7.5,2,0,1,0,0,0,0,0,0,0,2,,,,,,37176843,6.96779,7.45046,2.9289,389,5496,thing,Francis Drake,3,5,120,120,90,2013,"4,5",5,12+,No necessary in-game text,,,,,,standalone,,,,,,,,,,,,,,,
